Date,Open,High,Low,Close,Adj Close,Volume
2022-03-16,71.968002,72.374001,71.790001,72.222000,72.222000,14635
2022-03-17,72.477997,72.477997,72.000000,72.342003,72.342003,36551
2022-03-18,72.837997,73.556000,72.671997,73.519997,73.519997,40341
2022-03-21,73.945999,74.517998,73.900002,74.024002,74.024002,19210
2022-03-22,74.653999,75.129997,74.384003,75.010002,75.010002,35153
2022-03-23,75.162003,75.181999,74.800003,74.839996,74.839996,28082
2022-03-24,74.862000,75.162003,74.699997,74.874001,74.874001,10535
2022-03-25,75.365997,75.767998,75.150002,75.524002,75.524002,12565
2022-03-28,75.972000,76.269997,75.800003,75.856003,75.856003,18913
2022-03-29,76.482002,76.781998,75.828003,76.209999,76.209999,65557
2022-03-30,76.346001,76.358002,75.800003,75.865997,75.865997,17826
2022-03-31,75.828003,76.278000,75.793999,75.973999,75.973999,16886
2022-04-01,75.554001,75.954002,75.295998,75.306000,75.306000,30396
2022-04-04,75.727997,76.321999,75.500000,76.202003,76.202003,45977
2022-04-05,76.664001,76.809998,76.400002,76.634003,76.634003,32512
2022-04-06,76.377998,76.454002,75.099998,75.218002,75.218002,19362
2022-04-07,75.396004,75.820000,75.099998,75.183998,75.183998,18308
2022-04-08,76.335999,76.454002,75.849998,76.134003,76.134003,17837
2022-04-11,75.489998,75.575996,74.750000,74.924004,74.924004,30057
